group,step,direction,most_AB,not_all,t,p,sig
30k-2c:2nc,1451,most_AB < not_all,0.7681037,0.9314074,-25.52782,1.01E-42,sig
30k-2c:2nc,1501,most_AB < not_all,0.7718815,0.9314074,-25.85853,3.66E-43,sig
30k-2c:2nc,1551,most_AB < not_all,0.7755704,0.9314074,-25.06596,4.20E-42,sig
30k-2c:2nc,1601,most_AB < not_all,0.7773778,0.9314074,-26.30745,9.43E-44,sig
30k-2c:2nc,1651,most_AB < not_all,0.7793926,0.9314074,-26.48953,5.47E-44,sig
30k-2c:2nc,1701,most_AB < not_all,0.7818518,0.9314074,-26.48293,5.58E-44,sig
30k-2c:2nc,1751,most_AB < not_all,0.7838074,0.9314222,-26.71611,2.79E-44,sig
30k-2c:2nc,1801,most_AB < not_all,0.7865778,0.9314222,-26.14199,1.55E-43,sig
30k-2c:2nc,1851,most_AB < not_all,0.7888741,0.9314222,-26.10467,1.74E-43,sig
30k-2c:2nc,1901,most_AB < not_all,0.7888444,0.9314222,-27.11999,8.47E-45,sig
30k-2c:2nc,1951,most_AB < not_all,0.7886815,0.9313926,-26.74489,2.56E-44,sig
30k-2c:2nc,2001,most_AB < not_all,0.7902074,0.9313926,-27.56769,2.30E-45,sig
30k-2c:2nc,2051,most_AB < not_all,0.7933037,0.9313926,-26.92359,1.51E-44,sig
30k-2c:2nc,2101,most_AB < not_all,0.7973926,0.931363,-28.20092,3.74E-46,sig
30k-2c:2nc,2151,most_AB < not_all,0.7967259,0.9313926,-28.69045,9.39E-47,sig
30k-2c:2nc,2201,most_AB < not_all,0.7974815,0.9313778,-28.279,3.00E-46,sig
30k-2c:2nc,2251,most_AB < not_all,0.7965778,0.9313778,-28.74231,8.12E-47,sig
30k-2c:2nc,2301,most_AB < not_all,0.7996148,0.9313926,-28.96606,4.35E-47,sig
30k-2c:2nc,2351,most_AB < not_all,0.8021333,0.9313926,-28.05695,5.64E-46,sig
30k-2c:2nc,2401,most_AB < not_all,0.8012444,0.9313926,-29.4594,1.11E-47,sig
30k-2c:2nc,2451,most_AB < not_all,0.8035704,0.9313926,-30.90862,2.26E-49,sig
30k-2c:2nc,2501,most_AB < not_all,0.8037037,0.9313926,-30.57867,5.42E-49,sig
30k-2c:2nc,2551,most_AB < not_all,0.8049926,0.9313926,-29.91378,3.23E-48,sig
30k-2c:2nc,2601,most_AB < not_all,0.8065778,0.9313926,-29.6044,7.49E-48,sig
30k-2c:2nc,2651,most_AB < not_all,0.8084741,0.9313926,-30.76042,3.34E-49,sig
30k-2c:2nc,2701,most_AB < not_all,0.8104889,0.9314222,-30.68686,4.06E-49,sig
30k-2c:2nc,2751,most_AB < not_all,0.8112444,0.9314222,-31.56921,4.02E-50,sig
30k-2c:2nc,2801,most_AB < not_all,0.8129333,0.9314222,-30.34022,1.02E-48,sig
30k-2c:2nc,2851,most_AB < not_all,0.8135704,0.9314519,-31.89458,1.74E-50,sig
30k-2c:2nc,2901,most_AB < not_all,0.8152296,0.931437,-33.99548,9.11E-53,sig
30k-2c:2nc,2951,most_AB < not_all,0.8143852,0.9314667,-33.46341,3.35E-52,sig
30k-2c:2nc,3001,most_AB < not_all,0.8153926,0.9314667,-33.12,7.85E-52,sig
