group,step,direction,most_AB,all,t,p
30k-2c:2nc,1451,most_AB < all,0.7681037,0.8775852,-9.120907,2.11067976268978e-14
30k-2c:2nc,1501,most_AB < all,0.7718815,0.8844,-10.68685,1.23571739436559e-17
30k-2c:2nc,1551,most_AB < all,0.7755704,0.8889185,-11.60403,1.6782071295448e-19
30k-2c:2nc,1601,most_AB < all,0.7773778,0.8940148,-15.14319,2.32295780110401e-26
30k-2c:2nc,1651,most_AB < all,0.7793926,0.8980593,-18.03192,1.82639523212741e-31
30k-2c:2nc,1701,most_AB < all,0.7818518,0.9020148,-19.57666,5.2197958830241e-34
30k-2c:2nc,1751,most_AB < all,0.7838074,0.9023407,-19.67713,3.60185533071155e-34
30k-2c:2nc,1801,most_AB < all,0.7865778,0.9060741,-20.83462,5.4584470864709e-36
30k-2c:2nc,1851,most_AB < all,0.7888741,0.9075407,-22.26895,3.74576605879165e-38
30k-2c:2nc,1901,most_AB < all,0.7888444,0.9092444,-23.15833,1.90650659921097e-39
30k-2c:2nc,1951,most_AB < all,0.7886815,0.9098519,-23.06936,2.55866269376999e-39
30k-2c:2nc,2001,most_AB < all,0.7902074,0.9101333,-24.15801,7.38784062587687e-41
30k-2c:2nc,2051,most_AB < all,0.7933037,0.9104741,-23.00913,3.12392025118212e-39
30k-2c:2nc,2101,most_AB < all,0.7973926,0.910963,-24.77457,1.04507217837256e-41
30k-2c:2nc,2151,most_AB < all,0.7967259,0.9113482,-25.74651,5.15123250247966e-43
30k-2c:2nc,2201,most_AB < all,0.7974815,0.9114074,-25.15047,3.22884665394747e-42
30k-2c:2nc,2251,most_AB < all,0.7965778,0.911763,-25.29676,2.05154208780038e-42
30k-2c:2nc,2301,most_AB < all,0.7996148,0.9123259,-25.80928,4.25400234089769e-43
30k-2c:2nc,2351,most_AB < all,0.8021333,0.9125926,-25.51319,1.05258395473126e-42
30k-2c:2nc,2401,most_AB < all,0.8012444,0.9128444,-26.79458,2.20803837614036e-44
30k-2c:2nc,2451,most_AB < all,0.8035704,0.9130074,-28.37854,2.2605779592111e-46
30k-2c:2nc,2501,most_AB < all,0.8037037,0.9126963,-27.73942,1.40024546089796e-45
30k-2c:2nc,2551,most_AB < all,0.8049926,0.9128,-26.79745,2.18934663707118e-44
30k-2c:2nc,2601,most_AB < all,0.8065778,0.9127556,-27.08467,9.3919912382329e-45
30k-2c:2nc,2651,most_AB < all,0.8084741,0.9127259,-27.63666,1.88320753771527e-45
30k-2c:2nc,2701,most_AB < all,0.8104889,0.9128148,-27.49804,2.8125918716371e-45
30k-2c:2nc,2751,most_AB < all,0.8112444,0.9129037,-27.94361,7.79128675775687e-46
30k-2c:2nc,2801,most_AB < all,0.8129333,0.9129778,-27.41293,3.60092431382991e-45
30k-2c:2nc,2851,most_AB < all,0.8135704,0.9126815,-28.77786,7.35563412811958e-47
30k-2c:2nc,2901,most_AB < all,0.8152296,0.9126815,-30.68749,4.05732995482768e-49
30k-2c:2nc,2951,most_AB < all,0.8143852,0.9129333,-30.00744,2.50564505712808e-48
30k-2c:2nc,3001,most_AB < all,0.8153926,0.9130519,-29.55207,8.6427708145216e-48
