group,step,direction,most_BA,not_only,t,p,sig
30k-0c:4nc,1501,most_BA < not_only,0.6464419,0.9335431,-29.03165,7.52E-47,sig
30k-0c:4nc,1551,most_BA < not_only,0.6481049,0.9335281,-29.12663,5.80E-47,sig
30k-0c:4nc,1601,most_BA < not_only,0.6537828,0.9335431,-28.51918,3.11E-46,sig
30k-0c:4nc,1651,most_BA < not_only,0.6553558,0.9335281,-27.04636,2.06E-44,sig
30k-0c:4nc,1701,most_BA < not_only,0.6597303,0.9335131,-25.85192,7.06E-43,sig
30k-0c:4nc,1751,most_BA < not_only,0.6642097,0.9335131,-26.57518,8.18E-44,sig
30k-0c:4nc,1801,most_BA < not_only,0.6643745,0.9335131,-25.64395,1.32E-42,sig
30k-0c:4nc,1851,most_BA < not_only,0.6646592,0.9335131,-25.58507,1.58E-42,sig
30k-0c:4nc,1901,most_BA < not_only,0.6688839,0.9335281,-24.71189,2.32E-41,sig
30k-0c:4nc,1951,most_BA < not_only,0.6711311,0.9335281,-24.84493,1.54E-41,sig
30k-0c:4nc,2001,most_BA < not_only,0.6731985,0.9335431,-24.9497,1.11E-41,sig
30k-0c:4nc,2051,most_BA < not_only,0.6758052,0.933573,-24.77334,1.92E-41,sig
30k-0c:4nc,2101,most_BA < not_only,0.6770187,0.933573,-25.31883,3.56E-42,sig
30k-0c:4nc,2151,most_BA < not_only,0.6809588,0.933573,-24.03961,1.93E-40,sig
30k-0c:4nc,2201,most_BA < not_only,0.6795655,0.9335431,-24.32464,7.82E-41,sig
30k-0c:4nc,2251,most_BA < not_only,0.6802846,0.9335431,-24.02103,2.05E-40,sig
30k-0c:4nc,2301,most_BA < not_only,0.6845244,0.933573,-24.69166,2.47E-41,sig
30k-0c:4nc,2351,most_BA < not_only,0.6876405,0.933573,-24.66046,2.73E-41,sig
30k-0c:4nc,2401,most_BA < not_only,0.6928689,0.9335581,-24.54996,3.85E-41,sig
30k-0c:4nc,2451,most_BA < not_only,0.695236,0.933573,-24.36223,6.95E-41,sig
30k-0c:4nc,2501,most_BA < not_only,0.6970787,0.9335581,-23.92914,2.75E-40,sig
30k-0c:4nc,2551,most_BA < not_only,0.6969888,0.933588,-23.67013,6.30E-40,sig
30k-0c:4nc,2601,most_BA < not_only,0.7002846,0.933618,-23.68901,5.93E-40,sig
30k-0c:4nc,2651,most_BA < not_only,0.7030412,0.933588,-23.12567,3.69E-39,sig
30k-0c:4nc,2701,most_BA < not_only,0.7083446,0.933633,-23.16824,3.21E-39,sig
30k-0c:4nc,2751,most_BA < not_only,0.7063221,0.933603,-23.75046,4.86E-40,sig
30k-0c:4nc,2801,most_BA < not_only,0.7097828,0.933633,-22.92631,7.10E-39,sig
30k-0c:4nc,2851,most_BA < not_only,0.7113408,0.933633,-22.7981,1.08E-38,sig
30k-0c:4nc,2901,most_BA < not_only,0.712809,0.9336929,-23.28036,2.23E-39,sig
30k-0c:4nc,2951,most_BA < not_only,0.7167491,0.9336779,-22.60539,2.05E-38,sig
30k-0c:4nc,3001,most_BA < not_only,0.7178127,0.9336929,-22.93244,6.96E-39,sig
