group,step,direction,most_BA,only,t,p,sig
30k-1c:3nc,2451,most_BA < only,0.6928889,0.9115556,-20.22042,4.94E-35,sig
30k-1c:3nc,2501,most_BA < only,0.6952148,0.9117037,-19.85766,1.85E-34,sig
30k-1c:3nc,2551,most_BA < only,0.6993333,0.9117185,-19.43673,8.77E-34,sig
30k-1c:3nc,2601,most_BA < only,0.6992444,0.9117333,-19.22929,1.90E-33,sig
30k-1c:3nc,2651,most_BA < only,0.6972741,0.911763,-19.80097,2.28E-34,sig
30k-1c:3nc,2701,most_BA < only,0.7000148,0.9116741,-18.95364,5.35E-33,sig
30k-1c:3nc,2751,most_BA < only,0.7007259,0.9117333,-19.06006,3.58E-33,sig
30k-1c:3nc,2801,most_BA < only,0.7096593,0.9117037,-18.25882,7.59E-32,sig
30k-1c:3nc,2851,most_BA < only,0.7084296,0.911763,-18.94584,5.51E-33,sig
30k-1c:3nc,2901,most_BA < only,0.7110519,0.9117926,-19.04274,3.83E-33,sig
30k-1c:3nc,2951,most_BA < only,0.7153778,0.911837,-18.57569,2.25E-32,sig
30k-1c:3nc,3001,most_BA < only,0.7207556,0.9117926,-18.85245,7.85E-33,sig
30k-0c:4nc,101,most_BA < only,0.5285843,0.6110562,-2.234707,0.02796919,not sig
30k-0c:4nc,151,most_BA < only,0.5431161,0.6534382,-3.070191,0.002844972,not sig
30k-0c:4nc,201,most_BA < only,0.5469363,0.6827865,-3.78647,0.000278721,not sig
30k-0c:4nc,251,most_BA < only,0.5446442,0.7103071,-4.619698,1.31E-05,sig
30k-0c:4nc,301,most_BA < only,0.5444644,0.7279401,-5.279402,9.25E-07,sig
30k-0c:4nc,351,most_BA < only,0.5466816,0.737633,-5.571804,2.71E-07,sig
30k-0c:4nc,401,most_BA < only,0.548,0.7455281,-5.914293,6.23E-08,sig
30k-0c:4nc,451,most_BA < only,0.5452734,0.7645843,-7.045982,3.92E-10,sig
30k-0c:4nc,501,most_BA < only,0.5502322,0.7708015,-7.255154,1.50E-10,sig
30k-0c:4nc,551,most_BA < only,0.5559401,0.7878951,-8.325553,1.00E-12,sig
30k-0c:4nc,601,most_BA < only,0.5602397,0.8054831,-9.568678,2.77E-15,sig
30k-0c:4nc,651,most_BA < only,0.5669963,0.8275805,-11.65334,1.57E-19,sig
30k-0c:4nc,701,most_BA < only,0.5744569,0.8452734,-13.40189,5.75E-23,sig
30k-0c:4nc,751,most_BA < only,0.5839401,0.856809,-14.07038,3.05E-24,sig
30k-0c:4nc,801,most_BA < only,0.5873109,0.8665768,-16.26665,2.92E-28,sig
30k-0c:4nc,851,most_BA < only,0.5860674,0.8767341,-19.85694,2.90E-34,sig
30k-0c:4nc,901,most_BA < only,0.5924345,0.8822772,-20.23143,7.50E-35,sig
30k-0c:4nc,951,most_BA < only,0.6035056,0.8927041,-26.37849,1.46E-43,sig
30k-0c:4nc,1001,most_BA < only,0.6120749,0.8985019,-27.90168,1.76E-45,sig
30k-0c:4nc,1051,most_BA < only,0.6162996,0.9027715,-29.50105,2.09E-47,sig
30k-0c:4nc,1101,most_BA < only,0.6164644,0.9049588,-31.45893,1.19E-49,sig
30k-0c:4nc,1151,most_BA < only,0.619176,0.907236,-29.81363,8.98E-48,sig
30k-0c:4nc,1201,most_BA < only,0.6314457,0.9076854,-28.8089,1.39E-46,sig
30k-0c:4nc,1251,most_BA < only,0.6361648,0.9083745,-28.14513,8.86E-46,sig
30k-0c:4nc,1301,most_BA < only,0.6411835,0.9088689,-27.1306,1.61E-44,sig
30k-0c:4nc,1351,most_BA < only,0.641618,0.9089288,-25.77878,8.80E-43,sig
30k-0c:4nc,1401,most_BA < only,0.6402697,0.9090487,-27.17759,1.41E-44,sig
30k-0c:4nc,1451,most_BA < only,0.6483446,0.9093483,-24.88764,1.35E-41,sig
30k-0c:4nc,1501,most_BA < only,0.6464419,0.9096779,-26.43212,1.25E-43,sig
30k-0c:4nc,1551,most_BA < only,0.6481049,0.909588,-26.4758,1.10E-43,sig
30k-0c:4nc,1601,most_BA < only,0.6537828,0.9095131,-25.90828,5.96E-43,sig
30k-0c:4nc,1651,most_BA < only,0.6553558,0.9097228,-24.74682,2.08E-41,sig
30k-0c:4nc,1701,most_BA < only,0.6597303,0.9097978,-23.58955,8.17E-40,sig
30k-0c:4nc,1751,most_BA < only,0.6642097,0.9098727,-24.26145,9.55E-41,sig
30k-0c:4nc,1801,most_BA < only,0.6643745,0.9099625,-23.44784,1.29E-39,sig
30k-0c:4nc,1851,most_BA < only,0.6646592,0.9099326,-23.38468,1.58E-39,sig
30k-0c:4nc,1901,most_BA < only,0.6688839,0.9099925,-22.59248,2.14E-38,sig
30k-0c:4nc,1951,most_BA < only,0.6711311,0.9101273,-22.78567,1.13E-38,sig
30k-0c:4nc,2001,most_BA < only,0.6731985,0.9102022,-22.89643,7.83E-39,sig
30k-0c:4nc,2051,most_BA < only,0.6758052,0.9102472,-22.77713,1.16E-38,sig
30k-0c:4nc,2101,most_BA < only,0.6770187,0.9102322,-23.21031,2.80E-39,sig
30k-0c:4nc,2151,most_BA < only,0.6809588,0.9102472,-22.0349,1.39E-37,sig
30k-0c:4nc,2201,most_BA < only,0.6795655,0.9102622,-22.30684,5.57E-38,sig
30k-0c:4nc,2251,most_BA < only,0.6802846,0.9102322,-22.00344,1.55E-37,sig
30k-0c:4nc,2301,most_BA < only,0.6845244,0.9103071,-22.60626,2.05E-38,sig
30k-0c:4nc,2351,most_BA < only,0.6876405,0.9102322,-22.60216,2.08E-38,sig
30k-0c:4nc,2401,most_BA < only,0.6928689,0.9102172,-22.42741,3.72E-38,sig
30k-0c:4nc,2451,most_BA < only,0.695236,0.9102472,-22.23624,7.06E-38,sig
30k-0c:4nc,2501,most_BA < only,0.6970787,0.9102472,-21.94117,1.92E-37,sig
30k-0c:4nc,2551,most_BA < only,0.6969888,0.9102472,-21.70893,4.23E-37,sig
30k-0c:4nc,2601,most_BA < only,0.7002846,0.9102172,-21.66281,4.95E-37,sig
30k-0c:4nc,2651,most_BA < only,0.7030412,0.9102622,-21.18496,2.58E-36,sig
30k-0c:4nc,2701,most_BA < only,0.7083446,0.9102472,-21.2096,2.37E-36,sig
30k-0c:4nc,2751,most_BA < only,0.7063221,0.9102472,-21.865,2.48E-37,sig
30k-0c:4nc,2801,most_BA < only,0.7097828,0.9102472,-21.03455,4.36E-36,sig
30k-0c:4nc,2851,most_BA < only,0.7113408,0.9102472,-20.82223,9.19E-36,sig
30k-0c:4nc,2901,most_BA < only,0.712809,0.9102472,-21.36029,1.40E-36,sig
30k-0c:4nc,2951,most_BA < only,0.7167491,0.9102472,-20.68683,1.48E-35,sig
30k-0c:4nc,3001,most_BA < only,0.7178127,0.9102472,-21.10174,3.45E-36,sig
